# ShogiBoardQ 2026.09.25 詰将棋局面生成
# 生成日時: 2026/09/26 15:32:18 JST
# エンジン: KomoringHeights 1.1.0 64ZEN2 (PostSearchLevel=MinLength)
# 目標手数: 9 手詰
# 局面数: 1000（重複なし）
# 攻め駒上限: 5 / 6 枚（生成バッチ別）
# 守り駒上限: 2 / 3 / 4 枚（玉以外、生成バッチ別）
# 配置範囲: 2 マス（玉中心、生成バッチ別）
# 探索時間/局面: 1 秒（生成バッチ別）
# 未使用駒: 玉方の持駒に追加
# 事前選別: 1 / 3 / 5 / 10 / 25 ms探索で9手詰を確認できた候補に限定（生成バッチ別）
# 玉位置の事前選別: 盤端からの距離 0 / 1 / 4 マス以内（4は制限なし、生成バッチ別）
# 余詰検査: 主手順の余詰を除外、最終手の複数解を許容
# 手順形式: SFEN moves <初手> <玉方応手> <3手目> <玉方応手> <5手目> <玉方応手> <7手目> <玉方応手> <詰めの手>
9/9/9/9/9/9/1B+L6/P8/kg+L6 b G2rb2g4s4n2l17p 1 moves 7i8i 9i8i 8g7h 8i7i G*6i 7i8h 7g8g 8h9h G*8i
9/9/9/1R7/k8/2+S6/9/9/9 b r2b4g3s4n4l18p 1 moves 7f8e 9e9f 8e8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
9/9/9/9/9/9/4+R4/9/4+B1k1b b Lr4g4s4n3l18p 1 moves 5i4h 3i2h L*2i 2h2i 5g2g 1i2h 4h3h 2i1i 3h2h
9/9/2R6/r8/k1g6/9/9/9/9 b 2b3g4s4n4l18p 1 moves 7c7e+ 9e9f 7e7f 9f9g G*8g 9g9h 7f7h 9h9i 7h8h
1G7/k1P6/2R6/g8/9/9/9/9/9 b Sr2b2g3s4n4l17p 1 moves S*8c 9b8a 7b7a+ 8a9a 7a8a 9a8a 7c7b+ 8a9a 8c9b
9/2S6/2kS5/9/1G7/9/9/9/9 b 2r2b3g2s4n4l18p 1 moves 8e7d 7c8b 7d8c 8b9a 7b8a+ 9a8a 6c7b+ 8a9a 8c8b
9/6L1k/9/6L+Ln/9/9/9/9/9 b NP2r2b4g4s2nl17p 1 moves P*1c 1b2b 3d3c+ 2b2a 1c1b+ 2a1b 2d2c 1b2a 3c2b
2G1k4/2P3+N2/2LG5/9/9/9/9/9/9 b 2r2b2g4s3n3l17p 1 moves 7a6a 5a6a 7b7a+ 6a5a 7a6a 5a6a 7c7b+ 6a5a 6c6b
1SBn5/2R6/Nk7/1l7/2R6/9/9/9/9 b b4g3s2n3l18p 1 moves 8a9b 8c9d 9b8c 9d8c 7b9b+ 8c9b 7e7b+ 9b9a 9c8a+
9/9/9/9/9/9/5B3/5+SSk1/5+BN+l1 b 2r4g2s3n3l18p 1 moves 3h2i 2h1i 2i2h 1i2h 4i3h 2h1h L*1i 1h1i 3h2i
